,Survey_ID,black,native,asian,hawaiian,other_race,unsure_race,latinx,fst5,snd5,trd5,age_18-25,age_26-35,age_36-45,age_46-55,age_56-65,age_66+,age_Under 18,gender_Gender non-conforming or non-binary or other,gender_Man,gender_Prefer not to say,gender_Woman
397,846,1,0,0,0,0,0,0,False,False,False,0,0,0,1,0,0,0,0,0,0,1
404,875,1,0,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
405,876,0,1,0,0,0,0,0,False,False,False,0,0,0,0,1,0,0,0,1,0,0
412,890,1,0,0,0,0,0,0,True,False,False,1,0,0,0,0,0,0,0,0,0,1
413,891,0,0,0,0,0,1,1,True,False,False,0,1,0,0,0,0,0,1,0,0,0
416,899,1,0,0,0,0,0,0,False,False,False,0,0,0,1,0,0,0,0,1,0,0
417,900,1,1,0,0,0,0,0,False,False,False,0,1,0,0,0,0,0,0,0,1,0
418,908,1,0,0,0,0,0,0,False,False,True,0,0,1,0,0,0,0,0,1,0,0
420,915,1,1,0,0,0,0,0,False,True,False,1,0,0,0,0,0,0,0,1,0,0
423,922,0,1,0,0,0,0,0,False,False,False,1,0,0,0,0,0,0,0,1,0,0
424,923,1,0,0,0,0,0,0,False,False,False,0,0,0,0,1,0,0,0,1,0,0
425,924,1,0,0,0,0,0,0,False,True,False,0,0,1,0,0,0,0,0,1,0,0
426,929,1,0,0,0,0,0,0,False,False,False,0,1,0,0,0,0,0,0,1,0,0
433,942,1,0,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,0,1,0,0
437,946,1,0,0,0,0,0,0,False,True,False,0,1,0,0,0,0,0,0,1,0,0
439,949,0,0,0,0,1,0,0,True,False,False,0,0,0,1,0,0,0,0,1,0,0
441,953,0,0,0,0,1,0,0,False,False,True,0,0,0,1,0,0,0,0,1,0,0
446,977,1,0,0,0,0,0,0,True,False,False,0,0,0,0,1,0,0,0,1,0,0
451,983,1,0,0,0,0,0,0,False,False,False,0,1,0,0,0,0,0,0,0,0,1
457,992,0,1,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
459,1001,1,0,0,0,0,0,0,False,False,False,0,0,0,1,0,0,0,0,1,0,0
463,1015,1,0,0,0,0,0,0,False,False,False,0,1,0,0,0,0,0,0,1,0,0
465,1018,0,1,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,0,0,1
466,1019,1,0,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,0,1,0,0
468,1026,1,0,0,0,0,0,0,False,True,False,0,1,0,0,0,0,0,0,1,0,0
470,1032,1,0,0,0,1,0,1,False,False,False,0,0,1,0,0,0,0,0,1,0,0
472,1036,1,0,0,0,0,0,0,False,False,False,0,1,0,0,0,0,0,0,1,0,0
479,1051,1,0,0,0,0,0,0,False,False,True,0,0,0,0,1,0,0,0,1,0,0
480,1058,1,0,0,0,0,0,0,True,False,False,0,0,1,0,0,0,0,0,1,0,0
482,1060,1,0,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
